score_quintile,n,high_delay_rate,mean_cancel_rate,mean_delay_rate
Q1 (lowest),19201,0.40555179417738657,0.006204976394645043,0.1949194496009435
Q2,19200,0.430625,0.012038360497327443,0.1978633393333407
Q3,19200,0.42,0.014709054781076694,0.19381482312901616
Q4,19200,0.4195833333333333,0.020547466036805826,0.19293701968451152
Q5 (highest),19201,0.3793552419144836,0.0348797038405313,0.1809104098470719
