cluster_name,flights,dep_delay,recovery_delta,taxi_out,distance,dep_hour,pct_carrier,pct_weather,pct_nas,pct_late_acft,median_arr_delay,mean_arr_delay,pct_severe
Midday Extreme Delay,70,431.2857142857143,-8.528571428571428,16.542857142857144,801.2428571428571,13.265952380952381,0.3941946882842922,0.10370798044963944,0.09870294617348599,0.40339438509258235,359.0,422.75714285714287,1.0
Evening Moderate Delay,821,63.97320341047503,-2.2618757612667477,17.580998781973204,670.8501827040195,18.657815671944785,0.2547126708961395,0.036625461050665394,0.18982580350668277,0.5188360645465123,45.0,61.711327649208286,0.37271619975639464
Afternoon Long-Haul,256,54.59375,0.9375,21.40234375,2020.71484375,14.5791015625,0.3625874850922533,0.029582913278627894,0.2668330341584051,0.3358265307060078,35.0,55.53125,0.28515625
Morning Moderate Delay,756,51.57539682539682,2.496031746031746,19.154761904761905,693.702380952381,10.783002645502645,0.37721108107759393,0.04796404992044391,0.2778028873007673,0.29314580380124783,36.0,54.07142857142857,0.29365079365079366
Afternoon Ground-Hold,216,29.046296296296298,44.88425925925926,57.254629629629626,763.2546296296297,14.524228395061728,0.12777494403351136,0.04325178788035061,0.7204963653258981,0.10847690276023988,53.0,73.93055555555556,0.44907407407407407
