score_quintile,n,high_delay_rate,mean_cancel_rate,mean_delay_rate
Q1 (lowest),34286,0.3310972408563262,0.010578542648009285,0.17854531258808695
Q2,34285,0.3962374216129503,0.014498890093980366,0.18496403312852477
Q3,34285,0.36768266005541783,0.015438119097288674,0.16907720266281176
Q4,34285,0.3855621992124836,0.02148468913743803,0.17882275910387804
Q5 (highest),34285,0.4165378445384279,0.06211041252157629,0.20554797208116762
